STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Data Item,REGIONTYPE,Region Type,ASGS_2021,Region,FREQUENCY,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,UNIT_MULT,Unit of Multiplier,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),STE,States and Territories,7,Northern Territory,A,Annual,2022,,250228,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,BD_2,Registered births (no.),STE,States and Territories,1,New South Wales,A,Annual,2022,,97884,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),STE,States and Territories,2,Victoria,A,Annual,2022,,6630631,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,BD_4,Registered deaths (no.),STE,States and Territories,2,Victoria,A,Annual,2022,,47978,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),STE,States and Territories,6,Tasmania,A,Annual,2022,,571051,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,CABEE_15,Total business exits (no.),STE,States and Territories,4,South Australia,A,Annual,2022,,16934,,NUM,Number,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,ERP_P_20,Estimated resident population: Persons (no.),STE,States and Territories,3,Queensland,A,Annual,2022,,5320941,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,MIGRATION_4,Net internal migration (no.),STE,States and Territories,6,Tasmania,A,Annual,2022,,-379,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,CABEE_10,Total business entries (no.),STE,States and Territories,3,Queensland,A,Annual,2022,,83288,,NUM,Number,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,MIGRATION_7,Net overseas migration (no.),STE,States and Territories,4,South Australia,A,Annual,2022,,14322,,PSNS,Persons,,,,,,
DATAFLOW,ABS:ABS_REGIONAL_ASGS2021(1.3.0),"Data by region 2011-2024, by Main Structure and GCCSA (ASGS Edition 3 (2021 – 2026))",I,MIGRATION_7,Net overseas migration (no.),STE,States and Territories,8,Australian Capital Territory,A,Annual,2022,,3386,,PSNS,Persons,,,,,,
